Dataset Name,Chunk Size,Chunk Overlap,Preprocessing Strategy,Time (s),Memory (MB)
Practical 2_ Data.txt,200,0,lowercase,0.0499,65.86
Practical 2_ Data.txt,200,0,lowercase_whitespace,0.0347,66.41
Practical 2_ Data.txt,200,0,lowercase_whitespace_punctuation,0.0205,66.72
Practical 2_ Data.txt,200,0,lowercase_whitespace_punctuation_noise,0.0363,67.17
Practical 2_ Data.txt,200,50,lowercase,0.034,67.17
Practical 2_ Data.txt,200,50,lowercase_whitespace,0.0348,67.81
Practical 2_ Data.txt,200,50,lowercase_whitespace_punctuation,0.0205,68.05
Practical 2_ Data.txt,200,50,lowercase_whitespace_punctuation_noise,0.0361,68.16
Practical 2_ Data.txt,200,100,lowercase,0.0356,68.47
Practical 2_ Data.txt,200,100,lowercase_whitespace,0.0361,69.0
Practical 2_ Data.txt,200,100,lowercase_whitespace_punctuation,0.0202,68.5
Practical 2_ Data.txt,200,100,lowercase_whitespace_punctuation_noise,0.038,68.56
Practical 2_ Data.txt,500,0,lowercase,0.0344,68.62
Practical 2_ Data.txt,500,0,lowercase_whitespace,0.0341,68.62
Practical 2_ Data.txt,500,0,lowercase_whitespace_punctuation,0.0205,68.97
Practical 2_ Data.txt,500,0,lowercase_whitespace_punctuation_noise,0.0356,68.22
Practical 2_ Data.txt,500,50,lowercase,0.0341,68.23
Practical 2_ Data.txt,500,50,lowercase_whitespace,0.0368,68.47
Practical 2_ Data.txt,500,50,lowercase_whitespace_punctuation,0.0261,68.47
Practical 2_ Data.txt,500,50,lowercase_whitespace_punctuation_noise,0.0365,68.47
Practical 2_ Data.txt,500,100,lowercase,0.0351,68.59
Practical 2_ Data.txt,500,100,lowercase_whitespace,0.0344,68.7
Practical 2_ Data.txt,500,100,lowercase_whitespace_punctuation,0.0203,68.7
Practical 2_ Data.txt,500,100,lowercase_whitespace_punctuation_noise,0.0712,67.03
Practical 2_ Data.txt,1000,0,lowercase,0.0345,62.94
Practical 2_ Data.txt,1000,0,lowercase_whitespace,0.0351,62.94
Practical 2_ Data.txt,1000,0,lowercase_whitespace_punctuation,0.0211,62.95
Practical 2_ Data.txt,1000,0,lowercase_whitespace_punctuation_noise,0.0367,63.0
Practical 2_ Data.txt,1000,50,lowercase,0.0347,63.02
Practical 2_ Data.txt,1000,50,lowercase_whitespace,0.034,63.14
Practical 2_ Data.txt,1000,50,lowercase_whitespace_punctuation,0.0211,63.16
Practical 2_ Data.txt,1000,50,lowercase_whitespace_punctuation_noise,0.0374,63.5
Practical 2_ Data.txt,1000,100,lowercase,0.0354,63.53
Practical 2_ Data.txt,1000,100,lowercase_whitespace,0.0356,63.55
Practical 2_ Data.txt,1000,100,lowercase_whitespace_punctuation,0.0201,62.95
Practical 2_ Data.txt,1000,100,lowercase_whitespace_punctuation_noise,0.035,63.05
